ali_uid,hw_c,bw_c,ens_cost
64389,2269955.75073242,13987991.308568,16257947.05930042
98051,2561929.0,3807377.380248,6369306.380248
78131,667800.0,2396274.234054,3064074.234054
66394,1164135.0,1775225.1965300005,2939360.1965300003
48944,322052.5,1401615.918162,1723668.418162
52024,971376.0,484635.18518999993,1456011.1851899999
80365,1350524.0,2452.62936,1352976.62936
22399,187999.0,971155.4084000002,1159154.4084
31102,291532.5,615824.599698,907357.099698
77787,330659.0,386011.40177,716670.40177
64892,460978.0,169626.69636,630604.69636
15301,571814.9999999999,42431.920079999996,614246.9200799998
83822,115640.0,398371.37174599996,514011.37174599996
25295,173193.0,276493.90804999997,449686.90804999997
13404,31848.0,242486.63905000003,274334.63905
76645,102907.0,154884.364256,257791.364256
12347,184177.0,47948.638311999995,232125.638312
68873,223839.0,1021.83016,224860.83016
14878,70488.0,152924.06362,223412.06362
69166,159550.0,4875.0852639999985,164425.085264
48776,81472.59999999996,77061.87075600002,158534.47075599997
2766,60655.0,95564.73037599998,156219.730376
4588,49775.799999999996,82295.50560000002,132071.30560000002
89110,118193.25,1792.9416459999998,119986.191646
55644,79964.0,34934.70689599999,114898.70689599999
19570,83172.0,31256.485050000003,114428.48505
59604,93789.5,14802.701515999997,108592.201516
15219,54698.0,43849.531211999994,98547.531212
33259,31612.0,36666.194128,68278.194128
46473,7427.0,55548.619203999995,62975.619203999995
90665,53977.0,1000.0384980000001,54977.038498
24018,7182.0,47018.15496,54200.15496
52759,52891.2,533.3451300000002,53424.54513
19346,42966.0,5696.542902000001,48662.542902
84661,41597.35,6540.990379999999,48138.340379999994
89137,3157.0,43006.334148,46163.334148
97163,27464.5,17273.335939999997,44737.83594
27445,14675.5,27594.522184,42270.022184
62570,1190.0,36822.188440000005,38012.188440000005
63800,25078.0,11661.259682,36739.259682
53106,31955.0,125.29359199999999,32080.293592
84953,5166.0,24919.707828,30085.707828
6224,25683.0,57.27229199999999,25740.272292
70990,24029.0,14.426149999999998,24043.42615
70642,19066.0,178.28656600000002,19244.286566
9004,17665.476855468747,143.18114,17808.657995468748
61851,14870.40625,16.918200000000002,14887.32445
34465,13002.5,782.2998119999999,13784.799812
52238,12257.0,1274.122296,13531.122296
7120,8170.0,4277.302200000001,12447.302200000002
58019,9275.578125,1.69442,9277.272545
23813,8361.953125,1.4983,8363.451425
60308,5376.0,2392.074739999999,7768.074739999999
52405,7193.0,211.820262,7404.820262
88522,7048.0,10.261296,7058.261296
56850,1430.296875,5618.98614,7049.283015
40817,7013.0,0.158,7013.158
88203,6741.0,111.570278,6852.570278
2088,6405.0,14.140602000000001,6419.140602
48174,5328.0,485.2995699999999,5813.29957
63689,5092.5,401.69944,5494.19944
85953,3569.0,1831.01213,5400.01213
69050,3689.0,1488.364704,5177.364704
72267,2625.0,2551.0322,5176.0322
63306,5033.5,10.721440000000001,5044.22144
24132,3433.0,1096.5438199999999,4529.54382
50387,3850.0,206.13409000000001,4056.13409
82397,3040.0,5.003494000000001,3045.003494
24924,2432.0,609.879516,3041.879516
63945,3020.0,20.0229,3040.0229
34207,2935.0,4.555432,2939.555432
87436,2786.0,104.061728,2890.061728
95262,2821.0,13.683454,2834.683454
75839,2261.0,551.0850839999999,2812.085084
56312,1708.0,1073.47624,2781.47624
71679,672.0,1999.4950880000001,2671.495088
11443,2432.0,184.42934400000001,2616.429344
34768,1932.0,676.912826,2608.9128259999998
43698,2562.0,12.610032,2574.610032
47287,2488.0,5.33152,2493.33152
64032,2282.0,0.8626999999999999,2282.8627
48809,2114.0,0.66168,2114.66168
35328,1848.0,9.393918,1857.393918
45215,1792.0,2.406156,1794.406156
30410,1778.0,12.696,1790.696
21765,1617.0,106.913568,1723.913568
89077,1400.0041015625,268.34408799999994,1668.3481895625
71859,1449.0,199.228066,1648.2280660000001
21861,1498.0,126.13967,1624.13967
33304,1456.0,21.766518,1477.766518
69133,1442.0,10.612084,1452.612084
14448,357.0,1083.1014280000002,1440.1014280000002
62517,1344.0,2.6373480000000002,1346.637348
89932,1302.0,40.478728000000004,1342.478728
43988,1302.0,2.89168,1304.89168
82150,840.0,421.890024,1261.890024
81414,1106.0,27.143204,1133.143204
80868,1085.0,9.29101,1094.29101
29791,434.0,579.29895,1013.29895
87684,112.0,886.83692,998.83692
16510,896.0,5.9547479999999995,901.954748
73071,889.0,7.84856,896.84856
20525,672.0,220.95176,892.95176
62981,882.0,0.5841,882.5841
79205,784.0,9.24368,793.24368
75336,441.0,333.564792,774.564792
94454,672.0,5.162476,677.162476
97683,622.0,1.42258,623.42258
55318,427.0,38.07123,465.07123
27780,448.0,16.898808,464.898808
31016,448.0,7.99129,455.99129
58511,448.0,6.66303,454.66303
1775,434.0,0.88798,434.88798
55628,427.0,1.92104,428.92104
36840,427.0,0.50614,427.50614
10815,336.0,3.05169,339.05169
43094,336.0,1.31488,337.31488
43556,336.0,1.296256,337.296256
50327,304.0,1.08364,305.08364
99553,224.0,49.08062,273.08062
91421,224.0,1.1481119999999998,225.148112
70469,224.0,0.392124,224.392124
37930,217.0,5.34656,222.34656
15453,217.0,3.8878500000000003,220.88785000000001
24331,217.0,2.2257,219.2257
23420,217.0,0.9633499999999999,217.96335
36871,217.0,0.0,217.0
42774,112.0,56.235020000000006,168.23502000000002
9682,119.0,0.19032,119.19032
71867,112.0,1.7492500000000002,113.74925
80306,112.0,1.68114,113.68114
99421,112.0,1.281576,113.281576
10812,112.0,1.0881,113.0881
32303,112.0,1.01336,113.01336
95929,112.0,0.86232,112.86232
12843,112.0,0.607368,112.607368
93859,112.0,0.0,112.0
